order_id,customer_name,customer_phone,shipping_address,city,city_tier,cod_amount,order_hour,is_repeat_customer,latitude,longitude,delivery_success
ORD-PK-00001,Muhammad Tariq,03053341057,"near City Bakery, Rawalpindi",Rawalpindi,1,2830.0,3,1,33.52722,72.99281,1
ORD-PK-00002,Hamza Siddiqui,03345667265,"near Jamia Masjid, Faisalabad",Faisalabad,2,4300.0,9,0,31.41782,73.10274,0
ORD-PK-00003,Saad Bhatti,03468707870,"House #194, Gali #19, near City Bakery, Sialkot",Sialkot,2,19760.0,6,0,32.53332,74.55133,1
ORD-PK-00004,Ayesha Bhatti,03153728882,"House #108, Block #5, adjacent to General Hospital, Sialkot",Sialkot,2,6170.0,13,0,32.49906,74.53767,1
ORD-PK-00005,Hassan Khan,03006292423,"House #34, Sector #21, opposite Meezan Bank, Sialkot",Sialkot,2,5480.0,8,1,32.49762,74.54266,1
ORD-PK-00006,Saad Siddiqui,03029548432,"House #387, Street #8, opposite Meezan Bank, Lahore",Lahore,1,2530.0,13,0,31.50051,74.36296,1
ORD-PK-00007,Omar Tariq,03335476583,"behind Shell Pump, Quetta",Quetta,2,17350.0,20,0,30.15409,67.00801,0
ORD-PK-00008,Bilal Rehman,03053564217,"House #83, Street #21, near Government College, Sialkot",Sialkot,2,8150.0,10,0,32.4608,74.54145,1
ORD-PK-00009,Hassan Shah,03028973915,home,Peshawar,2,1590.0,21,0,34.03214,71.51682,0
ORD-PK-00010,Fatima Qureshi,03223030113,"House #33, Phase #2, adjacent to General Hospital, Faisalabad",Faisalabad,2,8640.0,17,0,31.47917,73.10067,1
ORD-PK-00011,Omar Qureshi,03028930103,"House #243, Mohallah #13, near Jamia Masjid, Karachi",Karachi,1,5660.0,20,1,24.87239,66.96595,1
ORD-PK-00012,Hassan Malik,03059997381,"House #217, Lane #18, near Government College, Multan",Multan,2,17140.0,7,0,30.11868,71.49236,1
ORD-PK-00013,Usman Chaudhry,03224586084,"near Jamia Masjid, Multan",Multan,2,3510.0,11,0,30.18017,71.53785,1
ORD-PK-00014,Usman Bhatti,03002022698,"near Jamia Masjid, Islamabad",Islamabad,1,26430.0,9,0,33.65927,73.0555,0
ORD-PK-00015,Usman Siddiqui,03345130808,"House #21, Gali #27, near City Bakery, Faisalabad",Faisalabad,2,2420.0,18,0,31.42087,73.14664,1
ORD-PK-00016,Maryam Malik,03991329110,"House #260, Block #9, behind Shell Pump, Islamabad",Islamabad,1,3190.0,14,0,33.72311,73.07247,0
ORD-PK-00017,Omar Shah,03452737893,home,Islamabad,1,1590.0,11,0,33.66069,73.05864,1
ORD-PK-00018,Zainab Bhatti,03002548511,"behind Shell Pump, Lahore",Lahore,1,5170.0,9,0,31.52527,74.32765,1
ORD-PK-00019,Sana Chaudhry,03153484601,"House #22, Block #24, near Jamia Masjid, Quetta",Quetta,2,3240.0,12,0,30.21771,66.99496,1
ORD-PK-00020,Usman Chaudhry,03027917152,"House #378, Phase #27, near City Bakery, Hyderabad",Hyderabad,2,13700.0,7,0,25.37379,68.38313,1
ORD-PK-00021,Bilal Sheikh,03454240180,"House #143, Gali #18, behind Shell Pump, Islamabad",Islamabad,1,27630.0,12,1,33.6653,73.05435,1
ORD-PK-00022,Muhammad Malik,03156262632,"House #262, Gali #25, adjacent to General Hospital, Muzaffarabad",Muzaffarabad,3,17000.0,21,0,34.38936,73.48475,1
ORD-PK-00023,Ali Rehman,03346266630,"near Jamia Masjid, Lahore",Lahore,1,5000.0,12,0,31.49575,74.37189,1
ORD-PK-00024,Sana Chaudhry,03127812810,"House #1, Block #19, opposite Meezan Bank, Lahore",Lahore,1,6400.0,14,0,31.5439,74.39549,1
ORD-PK-00025,Omar Malik,03456623525,"House #385, Sector #20, opposite Meezan Bank, Multan",Multan,2,4240.0,17,0,30.18839,71.53095,1
ORD-PK-00026,Ayesha Qureshi,03021093026,"near Jamia Masjid, Faisalabad",Faisalabad,2,24180.0,15,1,31.47827,73.13152,0
ORD-PK-00027,Omar Shah,03346323376,near bridge,Peshawar,2,18340.0,14,1,34.01111,71.54504,0
ORD-PK-00028,Bilal Shah,03055606980,"House #366, Block #16, behind Shell Pump, Sialkot",Sialkot,2,1770.0,10,0,32.45964,74.51551,1
ORD-PK-00029,Ayesha Khan,03217534336,"adjacent to General Hospital, Islamabad",Islamabad,1,25670.0,13,1,33.70468,73.07618,1
ORD-PK-00030,Ayesha Shah,03334700025,"House #140, Mohallah #32, near Jamia Masjid, Quetta",Quetta,2,24060.0,9,0,30.18958,66.93716,0
ORD-PK-00031,Saad Rehman,03662376659,"opposite Meezan Bank, Lahore",Lahore,1,5400.0,12,0,31.5565,74.35243,0
ORD-PK-00032,Zainab Khan,03006871360,"House #36, Street #2, opposite Meezan Bank, Sialkot",Sialkot,2,1420.0,15,1,32.4917,74.5034,1
ORD-PK-00033,Saad Mughal,03462921542,"opposite Meezan Bank, Lahore",Lahore,1,4040.0,16,0,31.55572,74.33457,0
ORD-PK-00034,Zubair Rehman,03466059717,"adjacent to General Hospital, Rawalpindi",Rawalpindi,1,2990.0,12,0,33.56558,73.0042,0
ORD-PK-00035,Zubair Qureshi,03158713146,"near Government College, Sialkot",Sialkot,2,21180.0,20,0,32.48935,74.54138,0
ORD-PK-00036,Zubair Sheikh,03015679639,"opposite Meezan Bank, Lahore",Lahore,1,6350.0,2,0,31.49737,74.38253,0
ORD-PK-00037,Maryam Mughal,03121170307,"House #98, Gali #16, near City Bakery, Lahore",Lahore,1,6280.0,17,0,31.48784,74.33643,1
ORD-PK-00038,Bilal Rehman,03229907391,"House #382, Phase #23, near City Bakery, Faisalabad",Faisalabad,2,13000.0,9,1,31.47138,73.10981,1
ORD-PK-00039,Zainab Bhatti,03335747930,home,Karachi,1,14390.0,16,0,24.86497,67.01689,1
ORD-PK-00040,Zubair Qureshi,03005770422,"House #226, Phase #12, near Jamia Masjid, Karachi",Karachi,1,1560.0,13,1,24.82499,66.97304,1
ORD-PK-00041,Bilal Malik,03017982241,"adjacent to General Hospital, Rawalpindi",Rawalpindi,1,6110.0,11,0,33.57059,72.98172,0
ORD-PK-00042,Ali Sheikh,03122362099,"House #89, Gali #11, near Jamia Masjid, Quetta",Quetta,2,1960.0,10,0,30.17612,66.98999,1
ORD-PK-00043,Hassan Rehman,03058132648,"House #116, Lane #18, opposite Meezan Bank, Hyderabad",Hyderabad,2,14500.0,20,0,25.3935,68.34213,1
ORD-PK-00044,Bilal Shah,03222349590,"House #222, Phase #17, near Jamia Masjid, Lahore",Lahore,1,24800.0,17,1,31.54611,74.3648,1
ORD-PK-00045,Ahmed Qureshi,03225666692,"House #300, Mohallah #32, near Jamia Masjid, Multan",Multan,2,2120.0,20,0,30.14056,71.56052,1
ORD-PK-00046,Hamza Khan,03155234550,"House #396, Mohallah #33, near Jamia Masjid, Peshawar",Peshawar,2,2610.0,15,0,34.01046,71.48903,1
ORD-PK-00047,Ahmed Bhatti,03469132114,"House #323, Sector #11, behind Shell Pump, Lahore",Lahore,1,2330.0,14,1,31.52027,74.37603,1
ORD-PK-00048,Bilal Siddiqui,03225089126,"House #75, Mohallah #13, adjacent to General Hospital, Islamabad",Islamabad,1,7900.0,19,0,33.70742,73.02927,1
ORD-PK-00049,Sana Bhatti,03349214801,"near Government College, Karachi",Karachi,1,19260.0,13,0,24.89916,66.9802,1
ORD-PK-00050,Zubair Siddiqui,03666495997,"House #340, Lane #32, near Jamia Masjid, Lahore",Lahore,1,1230.0,20,0,31.51695,74.3765,1
ORD-PK-00051,Omar Chaudhry,03775780114,"near Government College, Lahore",Lahore,1,25120.0,13,0,31.54115,74.38849,0
ORD-PK-00052,Ali Sheikh,03124816586,"near Government College, Karachi",Karachi,1,3440.0,14,0,24.82438,67.02479,1
ORD-PK-00053,Fatima Siddiqui,03337913081,"House #406, Lane #11, opposite Meezan Bank, Lahore",Lahore,1,1110.0,15,0,31.53143,74.35547,1
ORD-PK-00054,Maryam Qureshi,03453650391,"House #177, Block #28, near City Bakery, Faisalabad",Faisalabad,2,7730.0,20,1,31.43912,73.11867,1
ORD-PK-00055,Muhammad Rehman,03001822825,"near City Bakery, Faisalabad",Faisalabad,2,2190.0,17,0,31.46007,73.14922,1
ORD-PK-00056,Omar Rehman,03452630140,"near City Bakery, Faisalabad",Faisalabad,2,7440.0,19,1,31.4702,73.10905,0
ORD-PK-00057,Hamza Ansari,03123760597,"House #423, Chowk #19, near City Bakery, Karachi",Karachi,1,3160.0,8,0,24.87864,67.0395,1
ORD-PK-00058,Hassan Shah,03211233516,"House #64, Chowk #24, near City Bakery, Dera Ismail Khan",Dera Ismail Khan,3,15930.0,21,1,31.8246,70.93264,0
ORD-PK-00059,Maryam Mughal,03018789116,"behind Shell Pump, Rawalpindi",Rawalpindi,1,2590.0,12,0,33.59608,72.98775,0
ORD-PK-00060,Omar Tariq,03338031780,"House #373, Lane #27, near City Bakery, Islamabad",Islamabad,1,5950.0,3,0,33.72044,73.07634,1
ORD-PK-00061,Omar Ansari,03457017548,"House #142, Sector #8, near Government College, Karachi",Karachi,1,1140.0,5,0,24.88366,66.97752,1
ORD-PK-00062,Hamza Sheikh,03056512314,"adjacent to General Hospital, Peshawar",Peshawar,2,910.0,16,0,34.04442,71.49544,0
ORD-PK-00063,Hassan Sheikh,03003923366,"House #65, Mohallah #34, near Jamia Masjid, Lahore",Lahore,1,23670.0,17,0,31.52961,74.37688,0
ORD-PK-00064,Omar Shah,03451522621,"House #246, Mohallah #28, near City Bakery, Gujranwala",Gujranwala,2,1180.0,12,1,32.19765,74.20133,1
ORD-PK-00065,Ayesha Mughal,03229481739,"near Jamia Masjid, Faisalabad",Faisalabad,2,21270.0,18,1,31.42868,73.12211,0
ORD-PK-00066,Ayesha Tariq,03216243275,"behind Shell Pump, Islamabad",Islamabad,1,3380.0,20,1,33.7035,73.07284,0
ORD-PK-00067,Saad Shah,03453050700,"House #448, Mohallah #4, behind Shell Pump, Rawalpindi",Rawalpindi,1,2460.0,9,0,33.55311,73.0214,1
ORD-PK-00068,Bilal Mughal,03211440466,"near City Bakery, Karachi",Karachi,1,12020.0,19,0,24.83521,66.97256,0
ORD-PK-00069,Ali Chaudhry,03002539438,"opposite Meezan Bank, Faisalabad",Faisalabad,2,5770.0,18,0,31.4172,73.09921,1
ORD-PK-00070,Saad Khan,03128434202,"near Government College, Karachi",Karachi,1,12700.0,8,0,24.87498,67.00003,0
ORD-PK-00071,Muhammad Sheikh,03341919088,"House #155, Sector #9, behind Shell Pump, Faisalabad",Faisalabad,2,4100.0,9,0,31.45042,73.16167,1
ORD-PK-00072,Ali Siddiqui,03008318550,"House #40, Phase #28, adjacent to General Hospital, Peshawar",Peshawar,2,6700.0,1,0,34.02455,71.55146,1
ORD-PK-00073,Ali Siddiqui,03058309439,"House #269, Gali #26, behind Shell Pump, Hyderabad",Hyderabad,2,2840.0,15,1,25.42847,68.34575,1
ORD-PK-00074,Zubair Rehman,03052724773,"House #102, Lane #10, near City Bakery, Multan",Multan,2,8260.0,19,0,30.19143,71.53006,1
ORD-PK-00075,Saad Ansari,03456303930,"House #35, Chowk #29, near City Bakery, Rawalpindi",Rawalpindi,1,9600.0,6,0,33.5546,72.99987,0
ORD-PK-00076,Zubair Malik,03337450545,"House #284, Street #29, adjacent to General Hospital, Faisalabad",Faisalabad,2,2590.0,22,0,31.47739,73.17359,1
ORD-PK-00077,Omar Chaudhry,03667472274,"House #313, Lane #24, behind Shell Pump, Karachi",Karachi,1,23600.0,17,0,24.82597,66.96866,0
ORD-PK-00078,Bilal Bhatti,03453522845,"House #299, Lane #23, behind Shell Pump, Faisalabad",Faisalabad,2,16140.0,18,1,31.46188,73.12128,1
ORD-PK-00079,Sana Tariq,03332567880,"near Government College, Karachi",Karachi,1,2220.0,12,0,24.9007,66.9735,0
ORD-PK-00080,Hassan Malik,03339833734,"House #173, Lane #25, opposite Meezan Bank, Lahore",Lahore,1,1320.0,18,1,31.53797,74.39627,1
